Accession,Virus Name,Publication Date,Host,Taxonomy ID,Zoonotic Potential
KX871230,"Bat adenovirus isolate 250-A, complete genome.",20-Jun-2018,Corynorhinus rafinesquii,2015376,FALSE
GU226951,Bat adenovirus isolate 1213-HN-Mh DNA polymerase,25-Jul-2016,Myotis horsfieldii,740971,FALSE
GU226952,Bat adenovirus isolate 1488-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226953,Bat adenovirus isolate 1045-TJ-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226954,Bat adenovirus isolate 1064-TJ-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226955,Bat adenovirus isolate 1489-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226956,Bat adenovirus isolate 1252-HN-Mh DNA polymerase,25-Jul-2016,Myotis horsfieldii,740971,FALSE
GU226957,Bat adenovirus isolate 1495-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226958,Bat adenovirus isolate 1503-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226959,Bat adenovirus isolate 1509-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226960,Bat adenovirus isolate 1282-YN-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226961,Bat adenovirus isolate 1425-YN-Mspp DNA polymerase,25-Jul-2016,Myotis sp.,740971,FALSE
GU226962,Bat adenovirus isolate 1419-YN-Mspp DNA polymerase,25-Jul-2016,Myotis sp.,740971,FALSE
GU226963,Bat adenovirus isolate 1069-TJ-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226964,Bat adenovirus isolate 1391-YN-Ha DNA polymerase,25-Jul-2016,Hipposideros armiger,740971,FALSE
GU226965,Bat adenovirus isolate 1737-HB-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226966,Bat adenovirus isolate 1285-YN-Mr DNA polymerase,25-Jul-2016,Myotis ricketti,740971,FALSE
GU226967,Bat adenovirus isolate 1497-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226968,Bat adenovirus isolate 1506-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
GU226969,Bat adenovirus isolate 1510-GD-Sk DNA polymerase,25-Jul-2016,Scotophilus kuhlii,740971,FALSE
HM856327,"Bat adenovirus strain Nylas_K01076 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856328,"Bat adenovirus strain Nylas_K01093 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856329,"Bat adenovirus strain Nylas_K01081 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856330,"Bat adenovirus strain Nylas_K01089 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856331,"Bat adenovirus strain Nylas_K00911 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856332,"Bat adenovirus strain Nylas_K01024 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856333,"Bat adenovirus strain Nylas_K01502 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856334,"Bat adenovirus strain Nylas_K01504 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856335,"Bat adenovirus strain Rheu_40409-2 hexon protein gene, partial cds.",25-Jul-2016,Rhinolophus euryale,740971,FALSE
HM856336,"Bat adenovirus strain Rhfer_40622-1 hexon protein gene, partial cds.",25-Jul-2016,Rhinolophus ferrumequinum,740971,FALSE
HM856337,"Bat adenovirus strain Rhfer_070704-1 hexon protein gene, partial cds.",25-Jul-2016,Rhinolophus ferrumequinum,740971,FALSE
HM856338,"Bat adenovirus strain Hsa_070704-6 hexon protein gene, partial cds.",25-Jul-2016,Hypsugo savii,740971,FALSE
HM856339,"Bat adenovirus strain Nylas_050701-4 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856340,"Bat adenovirus strain Nylas_050701-8 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856341,"Bat adenovirus strain Hsa_070613-2 hexon protein gene, partial cds.",25-Jul-2016,Hypsugo savii,740971,FALSE
HM856342,"Bat adenovirus strain Hsa_070703-2 hexon protein gene, partial cds.",25-Jul-2016,Hypsugo savii,740971,FALSE
HM856343,"Bat adenovirus strain Nylas_K01317 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856344,"Bat adenovirus strain Nyle_00954 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus leisleri,740971,FALSE
HM856345,"Bat adenovirus strain Nylas_K01508 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856346,"Bat adenovirus strain Nylas_K01535 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856347,"Bat adenovirus strain Nylas_K01550 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856348,"Bat adenovirus strain Nyle_00964 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus leisleri,740971,FALSE
HM856349,"Bat adenovirus strain Ppi_070616-6 hexon protein gene, partial cds.",25-Jul-2016,Pipistrellus pipistrellus,740971,FALSE
HM856350,"Bat adenovirus strain Nylas_K01530 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus lasiopterus,740971,FALSE
HM856351,"Bat adenovirus strain Nyle_070704-3 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus leisleri,740971,FALSE
HM856352,"Bat adenovirus strain Nyle_080616-1 hexon protein gene, partial cds.",25-Jul-2016,Nyctalus leisleri,740971,FALSE
HM856353,"Bat adenovirus strain Mmy_080623-6 hexon protein-like gene, partial sequence.",25-Jul-2016,Myotis myotis,740971,FALSE
HQ529709,"Bat adenovirus isolate 1050597 DNA polymerase gene, partial cds.",25-Jul-2016,Rousettus leschenaultii (bat),740971,FALSE
HQ529710,"Bat adenovirus isolate 1050597 hexon gene, partial cds.",25-Jul-2016,Rousettus leschenaultii (bat),740971,FALSE
AB302970,"Bat adenovirus FBV1 pTP gene for pre-terminal protein, partial cds.",31-Oct-2019,,442492,FALSE
AB302971,"Bat adenovirus FBV1 pVI gene for protein VI, partial cds.",31-Oct-2019,,442492,FALSE
AB303301,"Bat adenovirus FBV1 pol gene for DNA polymerase, partial cds.",31-Oct-2019,,442492,FALSE
GU226970,"Bat adenovirus TJM, complete genome.",25-Feb-2022,Myotis ricketti,2758098,FALSE
HM234169,"Bat adenovirus GF-4 capsid protein gene, partial cds.",25-Jul-2016,,797379,FALSE
HM368167,"Bat adenovirus N78-28/Germany/2008 hexon gene, partial cds.",25-Jul-2016,Myotis myotis,996613,FALSE
JN167522,"Lesser horseshoe bat adenovirus Teresztenye/2010 DNA-dependent DNA polymerase gene, partial cds.",25-Jul-2016,Rhinolophus ferrumequinum,1110713,FALSE
JN167523,"Grey long-eared bat adenovirus Kupa/2010 DNA-dependent DNA polymerase gene, partial cds.",25-Jul-2016,Plecotus austriacus,1110714,FALSE
GU198877,Common noctule adenovirus HUN/2007 isolate batAdVnt DNA polymerase,25-Jul-2016,Nyctalus noctula (common noctule),857509,FALSE
GU289918,Greater horseshoe bat adenovirus HUN/2009 isolate Josvafo2009 DNA polymerase,25-Jul-2016,Rhinolophus ferrumequinum (greater horseshoe bat),857510,FALSE
KM043068,Northern bat adenovirus 1 strain 06/09 IVa2,24-Aug-2018,Eptesicus nilssoni (northern bat),1530283,FALSE
KM043101,Northern bat adenovirus 1 strain 06/09 DNA polymerase,24-Aug-2018,Eptesicus nilssoni (northern bat),1530283,FALSE
KM043100,Kuhl's pipistrelle adenovirus 1 strain 09/09 DNA polymerase,24-Aug-2018,Pipistrellus kuhlii (Kuhls's pipistrelle),1530277,FALSE
KM043074,Common noctule adenovirus 2 strain 119/08 IVa2,24-Aug-2018,Nyctalus noctula (common noctule),1530286,FALSE
KM043110,Common noctule adenovirus 2 strain 119/08 DNA polymerase,24-Aug-2018,Nyctalus noctula (common noctule),1530286,FALSE
KM043098,Vespertilionid adenovirus 2 strain 121/08 DNA polymerase,24-Aug-2018,Nyctalus noctula (common noctule),1530307,FALSE
KM043095,Nathusius's pipistrelle adenovirus 1 strain 140/07 DNA polymerase,24-Aug-2018,Pipistrellus nathusii (Nathusius's pipistrelle),1530282,FALSE
KM043096,Common pipistrelle adenovirus 2 strain 141/07 DNA polymerase,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530288,FALSE
KM043066,Particoloured bat adenovirus 1 strain 145/07 IVa2,24-Aug-2018,Vespertilio murinus (particoloured bat),1530298,FALSE
KM043099,Particoloured bat adenovirus 1 strain 145/07 DNA polymerase,24-Aug-2018,Vespertilio murinus (particoloured bat),1530298,FALSE
KM043075,Common noctule adenovirus 3 strain 150/08 IVa2,24-Aug-2018,Nyctalus noctula (common noctule),1530287,FALSE
KM043111,Common noctule adenovirus 3 strain 150/08 DNA polymerase,24-Aug-2018,Nyctalus noctula (common noctule),1530287,FALSE
KM043089,Vespertilionid adenovirus 1 strain 154/09 DNA polymerase,24-Aug-2018,Pipistrellus nathusius (Nathusius's pipistrelle),1530306,FALSE
KM043097,Vespertilionid adenovirus 2 strain 157/08 DNA polymerase,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530307,FALSE
KM043088,Vespertilionid adenovirus 1 strain 158/08 DNA polymerase,24-Aug-2018,Myotis mystacinus (whiskered bat),1530306,FALSE
KM043112,Vespertilionid adenovirus 3 strain 162/09 DNA polymerase,24-Aug-2018,Nyctalus noctula (common noctule),1530308,FALSE
KM043076,Vespertilionid adenovirus 1 strain 166/08 IVa2,24-Aug-2018,Nyctalus noctula (common noctule),1530306,FALSE
KM043087,Vespertilionid adenovirus 1 strain 191/07 DNA polymerase,24-Aug-2018,Nyctalus noctula (common noctule),1530306,FALSE
KM043077,Common pipistrelle adenovirus 4 strain 199/09 IVa2,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530275,FALSE
KM043109,Common pipistrelle adenovirus 4 strain 199/09 DNA polymerase,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530275,FALSE
KM043078,Common pipistrelle adenovirus 3 strain 202/09 IVa2,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530274,FALSE
KM043108,Common pipistrelle adenovirus 3 strain 202/09 DNA polymerase,24-Aug-2018,Pipistrellus pipistrellus (common pipistrelle),1530274,FALSE
KM043094,Brown long-eared bat adenovirus 1 strain 345/08 DNA polymerase,24-Aug-2018,Plecotus auritus (brown long-eared bat),1530284,FALSE
KM043062,Serotine bat adenovirus 1 strain BS14 IVa2,24-Aug-2018,Eptesicus serotinus (serotine bat),1530300,FALSE
KM043085,Serotine bat adenovirus 1 strain BS14 DNA polymerase,24-Aug-2018,Eptesicus serotinus (serotine bat),1530300,FALSE
KM043063,Greater mouse-eared bat adenovirus 1 strain BS16 IVa2,24-Aug-2018,Myotis myotis (greater mouse-eared bat),1530290,FALSE
KM043106,Greater mouse-eared bat adenovirus 1 strain BS16 DNA polymerase,24-Aug-2018,Myotis myotis (greater mouse-eared bat),1530290,FALSE
KM043064,Geoffroy's bat adenovirus 1 strain BS18 IVa2,24-Aug-2018,Myotis emarginatus (Geoffroy's bat),1530276,FALSE
KM043084,Geoffroy's bat adenovirus 1 strain BS18 DNA polymerase,24-Aug-2018,Myotis emarginatus (Geoffroy's bat),1530276,FALSE
KM043083,Pond bat adenovirus 1 strain BS23 DNA polymerase,24-Aug-2018,Myotis dasycneme (pond bat),1530299,FALSE
KM043065,Common noctule adenovirus 2 strain BS24 IVa2,24-Aug-2018,Nyctalus noctula (common noctule),1530286,FALSE
KM043072,Pond bat adenovirus 1 strain GTHU132 IVa2,24-Aug-2018,Myotis dasycneme (pond bat),1530299,FALSE
KM043070,Lesser mouse-eared bat adenovirus 1 strain GTHU38 IVa2,24-Aug-2018,Myotis blythii (lesser mouse-eared bat),1530293,FALSE
KM043086,Lesser mouse-eared bat adenovirus 1 strain GTHU38 DNA polymerase,24-Aug-2018,Myotis blythii (lesser mouse-eared bat),1530293,FALSE
KM043071,Soprano pipistrelle adenovirus 1 strain GTHU64 IVa2,24-Aug-2018,Pipistrellus pygmaeus (soprano pipistrelle),1530302,FALSE
KM043090,Soprano pipistrelle adenovirus 1 strain GTHU64 DNA polymerase,24-Aug-2018,Pipistrellus pygmaeus (soprano pipistrelle),1530302,FALSE
KM043057,Common noctule adenovirus 1 strain HUN/2007 IVa2,24-Aug-2018,Nyctalus noctula (common noctule),1530285,FALSE
KM043058,Greater horseshoe bat adenovirus 1 strain HUN/2009 IVa2,24-Aug-2018,Rhinolophus ferrumequinum (greater horseshoe bat),1530289,FALSE
KM043059,Grey long-eared bat adenovirus 1 strain Kupa/2010 IVa2,24-Aug-2018,Plecotus austriacus (grey long-eared bat),1530291,FALSE
KM043060,Lesser horseshoe bat adenovirus 1 strain Teresztenye/2010 IVa2,24-Aug-2018,Rhinolophus hipposideros (lesser horseshoe bat),1530292,FALSE
KM043069,Soprano pipistrelle adenovirus 2 strain 176/09 IVa2,24-Aug-2018,Pipistrellus pygmaeus (soprano pipistrelle),1530303,FALSE
